datetime,symbol,open,high,low,close,volume
2025-04-04 09:58:00,BINANCE:BTCUSDT,82765.05,82813.94,82760.93,82804.76,15.18343
2025-04-04 09:59:00,BINANCE:BTCUSDT,82804.76,82810.47,82794.0,82804.32,2.61742
2025-04-04 10:00:00,BINANCE:BTCUSDT,82804.32,82825.0,82710.09,82798.8,121.66037
2025-04-04 10:01:00,BINANCE:BTCUSDT,82798.8,82884.2,82798.79,82884.03,9.79576
2025-04-04 10:02:00,BINANCE:BTCUSDT,82884.03,82900.26,82864.0,82900.25,4.38033
2025-04-04 10:03:00,BINANCE:BTCUSDT,82900.25,82900.26,82877.37,82892.18,6.96109
2025-04-04 10:04:00,BINANCE:BTCUSDT,82892.18,82917.68,82882.04,82916.35,9.42492
2025-04-04 10:05:00,BINANCE:BTCUSDT,82916.36,82920.19,82897.69,82897.69,9.98573
2025-04-04 10:06:00,BINANCE:BTCUSDT,82897.7,82897.7,82863.32,82863.32,3.8951
2025-04-04 10:07:00,BINANCE:BTCUSDT,82863.32,82863.33,82827.1,82838.13,2.90668
2025-04-04 10:08:00,BINANCE:BTCUSDT,82838.12,82868.27,82838.12,82857.67,2.53849
2025-04-04 10:09:00,BINANCE:BTCUSDT,82857.67,82886.8,82857.67,82871.8,9.94332
2025-04-04 10:10:00,BINANCE:BTCUSDT,82871.8,82871.8,82833.49,82835.99,16.67587
2025-04-04 10:11:00,BINANCE:BTCUSDT,82835.99,82836.0,82835.99,82835.99,3.34578
2025-04-04 10:12:00,BINANCE:BTCUSDT,82835.99,82854.61,82835.99,82841.93,4.73911
2025-04-04 10:13:00,BINANCE:BTCUSDT,82841.93,82841.93,82722.22,82780.12,115.03009
2025-04-04 10:14:00,BINANCE:BTCUSDT,82780.12,82780.12,82751.5,82761.47,9.69921
2025-04-04 10:15:00,BINANCE:BTCUSDT,82761.46,82774.03,82761.46,82765.21,7.44095
2025-04-04 10:16:00,BINANCE:BTCUSDT,82765.2,82798.72,82765.2,82798.71,4.13943
2025-04-04 10:17:00,BINANCE:BTCUSDT,82798.72,82804.28,82786.98,82786.98,4.8332
2025-04-04 10:18:00,BINANCE:BTCUSDT,82786.98,82811.28,82786.98,82811.28,1.63794
2025-04-04 10:19:00,BINANCE:BTCUSDT,82811.28,82815.26,82774.92,82774.92,2.34881
2025-04-04 10:20:00,BINANCE:BTCUSDT,82774.91,82774.91,82698.85,82699.99,10.03724
2025-04-04 10:21:00,BINANCE:BTCUSDT,82700.0,82712.0,82691.02,82691.03,5.87082
2025-04-04 10:22:00,BINANCE:BTCUSDT,82691.03,82706.74,82691.02,82706.74,1.84005
2025-04-04 10:23:00,BINANCE:BTCUSDT,82706.73,82706.74,82689.08,82689.08,3.82536
2025-04-04 10:24:00,BINANCE:BTCUSDT,82689.08,82711.97,82689.08,82704.08,2.38323
2025-04-04 10:25:00,BINANCE:BTCUSDT,82704.08,82730.0,82704.07,82729.99,2.33654
2025-04-04 10:26:00,BINANCE:BTCUSDT,82729.99,82753.61,82713.44,82728.53,12.34931
2025-04-04 10:27:00,BINANCE:BTCUSDT,82728.53,82759.27,82717.07,82749.23,5.17006
2025-04-04 10:28:00,BINANCE:BTCUSDT,82749.22,82749.22,82726.48,82726.49,4.62557
2025-04-04 10:29:00,BINANCE:BTCUSDT,82726.48,82726.49,82716.33,82720.32,1.47123
2025-04-04 10:30:00,BINANCE:BTCUSDT,82720.32,82754.0,82720.31,82736.09,7.27284
2025-04-04 10:31:00,BINANCE:BTCUSDT,82736.09,82749.39,82736.08,82749.38,2.76285
2025-04-04 10:32:00,BINANCE:BTCUSDT,82749.38,82773.34,82747.91,82773.34,2.25133
2025-04-04 10:33:00,BINANCE:BTCUSDT,82773.34,82784.66,82755.21,82761.86,6.39886
2025-04-04 10:34:00,BINANCE:BTCUSDT,82761.85,82761.86,82652.62,82652.62,23.65948
2025-04-04 10:35:00,BINANCE:BTCUSDT,82652.61,82677.0,82644.99,82677.0,4.64208
2025-04-04 10:36:00,BINANCE:BTCUSDT,82677.0,82677.0,82656.96,82675.71,2.92081
2025-04-04 10:37:00,BINANCE:BTCUSDT,82675.72,82675.72,82642.29,82650.43,1.88246
2025-04-04 10:38:00,BINANCE:BTCUSDT,82650.44,82675.72,82650.44,82675.72,7.7397
